id,steamID,name,price,short_descritiption,genres[],publishers[],release_date
10,2390,Heretic: Shadow of the Serpent Riders,4.99,"In a twisted medieval dimension, undead creatures and bestial horrors have done the unthinkable--callously slaughtering your entire race. Your friends. Your family. Eliminated. But the nightmare has just begun.",[id Software],[Action],3/8/2007
11,2820,X3: Terran Conflict,15.99,"It is the year 2938. The long wished-for encounter of the X Universe and the Earth holds both joy and sorrow for the people. Despite flourishing trade, the clash of the diverse races, cultures and life forms creates new tensions, mistrust and open conflict that need to be overcome!",[Egosoft],[Action/Simulation/Strategy],16/10/2008
12,3010,Xpand Rally,4.99,"Xpand Rally is a breathtaking game that gives you the true to life experience of driving powerful rally cars amidst photorealistic sceneries. Realistic weather effects, rolling hills, and animated scenery all add to game's visual perfection.",[Techland],[Racing],24/8/2006
13,3330,Zuma Deluxe,4.99,"Deep in the jungle lie hidden temples bursting with traps and trickery, and it's up to you to uncover their treasures. Fire magical balls from your stone frog idol to make matches of three or more and clear the deadly chain before it reaches the golden skull.",[PopCap Games, Inc./Electronic Arts],[Casual],30/8/2006
14,3340,AstroPop Deluxe,4.99,"In a world where most puzzle games are the same, head into outer space to find something new and exciting! Before the descending bricks crush your dreams (and your space ship), use your powerful magnet to move and match same-colored bricks.",[PopCap Games, Inc.],[Casual],30/8/2006
15,3500,Mystery P.I.™ - The Lottery Ticket,4.99,"You are the world-famous Mystery P.I. and you've been hired by Grandma Rose to find her $488 million dollar winning lottery ticket that has gone missing! Retrace Grandma's steps to collect clues by finding hidden objects and solving puzzles. Search the city for the clues and piece them together to solve the case.",[PopCap Games, Inc.],[Casual],16/10/2007
16,3800,Advent Rising,9.99,"A common legend pervades the galaxy-that of a powerful, highly intelligent ancient race that will one day deliver the universe. They are known as Humans. The Advent of Humanity Begins...",[Ziggurat],[Action],14/9/2006
17,3920,Sid Meier's Pirates!,9.99,"Sail the Caribbean, marauding all on the high seas or ally your ship and crew as a privateer in search of riches - the life you choose is up to you. Face dogged enemies, raid unsuspecting villages, woo fair maidens, avoid capture or dig for buried treasure. Discover what it takes to become one of the most famous pirates in history!",[2K],[RPG],11/7/2005
18,4000,Garry's Mod,9.99,"Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.",[Valve],[Indie/Simulation],29/11/2006
19,4240,RACE - The WTCC Game,39.99,"The Official WTCC Game | RACE is the first ever game to be focused on the hard hitting, intense action of the exciting WTCC championship which is exploding in popularity all over the world. Based on WTCC, one of only three official FIA world championships next to Formula 1 and WRC, RACE features the complete WTCC championship season of...",[SimBin],[Racing],24/11/2006
20,4460,City Life 2008,2.49,"Construct the city of the 21st Century with City Life! City Life 2008 Edition is a next-generation City Builder. Its 3D game engine provides a level of detail and animation unprecedented in the City Builder genre, with total freedom of construction.",[Focus Entertainment],[Simulation/Strategy],29/9/2008
21,4470,Silverfall: Earth Awakening,3.39,"Silverfall Earth Awakening is an action RPG with unique graphical feel offering a fantastic quest to explore the new territories of Nelwë. In this heroic fantasy world where nature and technology collide you will have to make important choices which will lead you to side with one or the other.",[Focus Entertainment],[RPG],18/7/2008
22,4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,19.99,"S.T.A.L.K.E.R.: Shadow of Chernobyl tells a story about survival in the Zone – a very dangerous place, where you fear not only the radiation, anomalies and deadly creatures, but other S.T.A.L.K.E.R.s, who have their own goals and wishes.",[GSC Game World],[Action/RPG],20/3/2007
23,6120,Shank,9.99,"Shank is the cult-classic revival of the sidescrolling beat-em-up. Play as Shank in an over-the-top grindhouse game, packed to the rim with enemies, bosses, combos, and more by the award-winning team at Klei Entertainment.",[Klei Entertainment],[Action/Indie],25/10/2010
24,6200,Ghost Master®,4.99,"Grim spectres, howling banshees, and sly gremlins are yours to command as you unleash ghastly spirits on the town of Gravenville and scare the wits out of its citizens. In the world of the Ghost Master, spooks do your bidding, as you solve puzzles and unlock mysteries in a challenge that combines the best of strategy, adventure, and...",[Strategy First],[Strategy],21/12/2006
25,6250,Making History: The Calm & the Storm,4.99,"Making History&reg; delivers the open-ended gameplay of strategy-game classics, but with compelling new economic, military, and diplomatic systems and deep research that lets you play with real historical challenges.",[Strategy First],[Action/Strategy],13/3/2007
26,7940,Call of Duty® 4: Modern Warfare®,9.99,"The new action-thriller from the award-winning team at Infinity Ward, the creators of the Call of Duty® series, delivers the most intense and cinematic action experience ever. Call of Duty 4: Modern Warfare arms gamers with an arsenal of advanced and powerful modern day firepower and transports them to the most treacherous hotspots...",[Activision],[Action],12/11/2007
27,8080,Kane and Lynch: Dead Men™,0,"Kane and Lynch: Dead Men is the new action shooter franchise by Io-Interactive, creators of the multi-million selling Hitman series. Kane &amp; Lynch: Dead Men follows the violent and chaotic journey of two men - a flawed mercenary and a medicated psychopath - and their brutal attitude towards right and wrong.",[Square Enix],[Action],13/12/2007
28,9050,DOOM 3,4.99,"A massive demonic invasion has overwhelmed the Union Aerospace Corporation's (UAC) Mars Research Facility, leaving only chaos and horror in its wake. As one of only a few survivors, you must fight your way to hell and back against a horde of evil monsters.",[id Software],[Action],3/8/2007
29,9200,RAGE,9.99,"Powered by id’s revolutionary id Tech® 5 technology, RAGE is an intense first-person shooter with breakneck vehicle combat, an expansive world to explore, and jaw-dropping graphics!",[Bethesda Softworks],[Action],3/10/2011
30,9730,Tycoon City: New York,1.99,"Here's your chance to make it big in the Big Apple... New York City, the city that never sleeps! Go for broke building your own Manhattan empire, creating and customizing over 100 types of major businesses: run a hot nightclub, oversee a media conglomerate, open a lucrative Broadway theater - the choices are endless.",[Retroism],[Simulation],12/3/2008
31,11040,Sherlock Holmes - Nemesis,1.99,"This new Sherlock Holmes game sends us to 19th Century London where Arséne Lupin, a young French burglar with an impressive track record, has just challenged Scotland Yard and the most famous of detectives - Sherlock Holmes.",[Frogwares],[Adventure/RPG],7/8/2008
32,11240,Space Trader: Merchant Marine,4.99,"Space Trader is an open world trading colony sim wrapped in a shooter. Start as a Rookie and earn your way to Master using shrewd trades, back alley deals, bribes, and well-placed bullet. Buy low, sell high and don’t take no for an answer.",[Meridian4],[Action/Indie/Strategy],23/10/2008
33,11340,Larva Mortus,2.99,"Larva Mortus is a fast-paced hack and slash top-down shooter. As an agent specializing in exorcism, you are tasked to hunt monsters of the supernatural in a dark, ominous, and randomly generated atmosphere full of undead, terrifying and demonic nightmares.",[Meridian4],[Action/Indie],19/3/2009
34,11360,Chains,2.99,"Chains is a relaxing arcade match 3 casual game. The object of the game is simple, link adjacent bubbles of the same color into chains. The challenge comes from increasingly difficult physics-driven levels. Chill, relax, and unwind with psychedelic Chains.",[Meridian4],[Indie],1/7/2009
35,11370,Nikopol: Secrets of the Immortals,4.99,"Nikopol is a first-person dystopian point-and-click sci-fi adventure game. In 2023 France is ruled by an iron-fist religious dictatorship. A mysterious pyramid ship suddenly appears above Paris. Begin to unravel a conspiracy involving the government, your missing father, and Egyptian Gods.",[Meridian4],[Adventure/Indie],30/7/2009
36,11450,Overlord™,4.99,"Prepare to be tempted, mesmerized and thrilled, become the Overlord, how corrupt you become depends on how you handle any given situation. Your actions impact the game world. With incredible power at your disposal and a team of evil minded minions to do your evil bidding, how will you resist the temptation to be incredibly despotic?",[Codemasters/Electronic Arts],[RPG],26/10/2007
37,12140,Max Payne,3.49,"Max Payne is a man with nothing to lose in the violent, cold urban night. A fugitive undercover cop framed for murder, hunted by cops and the mob, Max is a man with his back against the wall, fighting a battle he cannot hope to win. Prepare for pain…",[Rockstar Games],[Action],6/1/2011
38,12460,BC Kings,4.99,"BC Kings features several new elements not commonly found in strategy games. In addition to gathering resources, training an army and defeating the enemy, you will have to solve adventure and role-playing elements as well. The campaign is built around the epic story of the brave hero Mradin, and his trusty old friend Giesnik.",[Strategy First],[Strategy],16/6/2009
39,12670,Mission Runway,9.99,"Do you have what it takes to design a fancy frock or a fashion flop? Compete in creative challenges for the once-in-a-lifetime opportunity to show your creations in a major runway event and become the ultimate fashion designer. Will you be asked to stay or leave Mission: Runway? Take on the fashion challenge?",[Cosmi Valusoft],[Simulation],17/7/2009
40,12900,AudioSurf,9.99,"Ride your music. Audiosurf is a music-adapting puzzle racer where you use your own music to create your own experience. The shape, the speed, and the mood of each ride is determined by the song you choose.",[],[Indie],15/2/2008
41,13600,Prince of Persia®: The Sands of Time,9.99,"Amidst the scorched sands of ancient Persia, there is a legend spun in an ancient tongue. It speaks of a time borne by blood and ruled by deceit. Drawn to the dark powers of a magic dagger, a young Prince is led to unleash a deadly evil upon a beautiful kingdom.",[Ubisoft],[Action/Adventure],21/11/2008
42,15270,Cold Fear™,9.99,"In a ferocious Arctic storm, distress signals are sent from a mysterious Russian whaler. As leading Coast Guard veteran Tom Hansen, you board to investigate  and discover unthinkable horrors lurking beneath the ship's bloodstained decks.",[Ubisoft],[Action],13/5/2008
43,15380,Heroes of Might & Magic V: Hammers of Fate,9.99,"Take part in a thrilling new adventure in the world of Ashan with the Hammers of Fate expansion. Discover uncharted territories and experience new ways of playing Heroes of Might & Magic V. Introducing a brand-new Dwarves faction, made up of heroic warriors and rune magic adepts who stalk the deepest mountains and most hostile regions of...",[Ubisoft],[Strategy],10/10/2008
44,15500,The Wonderful End of the World,4.99,"You can't save the whole world. It's going to be eaten by a mythological demon with the head of a fish. But as a puppet that absorbs all it touches, you can try to rescue as much of Earth's greatness as you can before the end arrives. In the beginning, you roam the Earth, capable of absorbing only the tiniest of objects.",[Dejobaan Games, LLC],[Casual/Indie],17/7/2008
45,15740,Oddworld: Munch's Oddysee,4.99,"New port for 2016! 60 FPS, higher res textures, higher poly models, improved audio, numerous fixes and improvements, and trading cards, badges, emotes and backgrounds!",[Oddworld Inhabitants],[Action/Adventure/Strategy],20/12/2010
46,16130,Fish Tycoon,9.99,"Fish Tycoon is a virtual fish breeding game. The object is to breed and cross breed fish until you find the 7 Magic Fish and solve the genetic puzzle. You will have to buy supplies like meds, eggs and special plants and then sell some of your fish in your virtual pet store.",[Last Day of Work],[Casual/Simulation],12/5/2008
47,16300,Everyday Shooter,9.99,"Everyday Shooter is an album of games exploring the expressive power of abstract shooters. Dissolute sounds of destruction are replaced with guitar riffs harmonizing over an all-guitar soundtrack, while modulating shapes celebrate the flowing beauty of geometry.",[],[Indie/Casual],8/5/2008
48,16810,Sid Meier's Civilization IV: Colonization,19.99,"Sid Meier's Civilization IV: Colonization is the third offering in the award winning Civilization IV series. A re-imagining of the classic Colonization game Sid Meier created in 1994, Sid Meier's Civilization IV: Colonization is a total conversion of the Civilization IV engine into a game experience in which players will lead a European...",[2K],[Strategy],23/9/2008
49,16900,GROUND BRANCH,29.99,"From one of the developers behind the original Rainbow Six® and Ghost Recon® games, comes a thinking-man's first-person shooter featuring in-depth character and weapon customization. Take your time. Think ahead. Get the job done.",[MicroProse Software],[Action/Indie/Simulation/Early Access],14/8/2018
50,17100,Children of the Nile: Enhanced Edition,7.99,"Children of the Nile&trade; is a unique gem of a city-building game, unparalleled in both grandeur and attention to detail.As Pharaoh you will guide your people through thousands of years of history: from simple hunter-gatherers to the creation of an immortal civilization.",[Tilted Mill Entertainment, Inc.],[Strategy/Simulation],8/7/2008
51,17180,Mosby's Confederacy,9.99,"As John Singleton Mosby, one of the Civil War's most interesting and dynamic leaders, you are charged, not with leading vast armies into battle, but with commanding small bands of skirmishers, scouts, and guerilla fighters on opportunistic missions to scout, ambush, steal supplies, and harass a larger and better-armed force of Union soldi",[Tilted Mill Entertainment, Inc.],[Strategy],19/11/2008
52,17330,Crysis Warhead®,19.99,"Pulse-racing new installment from 2007's PC Game of the Year*: Play as Sergeant Sykes and experience a whole new side of the battle. A standard combat mission behind enemy lines becomes critical when you discover your enemies have captured something of vital importance to the ensuing war.",[Electronic Arts],[Action],17/9/2008
53,17390,SPORE™,19.99,"Be the architect of your own universe with Spore, an exciting single-player adventure. From Single Cell to Galactic God, evolve your creature in a universe of your own creations.",[Electronic Arts],[Action/Adventure/Casual/RPG/Simulation/Strategy],19/12/2008
54,17470,Dead Space,19.99,"You are Isaac Clarke, an engineer on the spacecraft USG Ishimura. You're not a warrior. You're not a soldier. You are, however, the last line of defense for the remaining living crew.",[Electronic Arts],[Action/Adventure],9/1/2009
55,19030,Rocket Knight,14.99,"Sparkster makes his triumphant arrival on next-gen platforms with Rocket Knight, the newest chapter in the classic side-scrolling rocket action series. Our favorite opossum hero returns home after 15 years to find the kingdom of Zephyrus in shambles.",[Konami Digital Entertainment, Inc./Konami Digital Entertainment GmbH],[Action/Adventure],11/5/2010
56,19200,Tank Universal,4.99,"Tank Universal is an action FPS tank wargame inspired by Tron and Battlezone. Explore a rich virtual sci-fi 3D world, and take part in large-scale tank combat between your AI allies and the forces of an evil dictator.",[],[Action/Indie],21/8/2008
57,19320,Space Ark,4.99,"Space Ark is a fun arcade/puzzle game with a hint of retro arcade flavour; inspired by classic arcade games of the late 80s, such as Rainbow Island, Bubble Bobble and Arkanoid. With your crack team of animal ‘Arkonauts’, you have escaped your once peaceful solar system, which has been shattered by a wandering black hole, and are now...",[Bounce Entertainment],[Action/Indie/Casual],16/3/2012
58,19830,Tom Clancy's Rainbow Six® 3 Gold,9.99,"Raven Shield:Command an elite multinational squad of special operatives against hidden terrorist forces. In Tom Clancy's Rainbow Six 3: Raven Shield, the third installment to the wildly popular Rainbow Six series, Team Rainbow faces the hidden global forces of a new and secretive foe.",[Ubisoft],[Action],25/9/2008
59,20200,Galactic Bowling,19.99,"Galactic Bowling is an exaggerated and stylized bowling game with an intergalactic twist. Players will engage in fast-paced single and multi-player competition while being submerged in a unique new universe filled with over-the-top humor, wild characters, unique levels, and addictive game play.",[Perpetual FX Creative],[Casual/Indie/Sports],2/10/2008
60,20920,The Witcher 2: Assassins of Kings Enhanced Edition,19.99,"A time of untold chaos has come. Mighty forces clash behind the scenes in a struggle for power and influence. The Northern Kingdoms mobilize for war. But armies on the march are not enough to stop a bloody conspiracy...",[CD PROJEKT RED/1C-SoftClub],[RPG],16/4/2012
61,21030,Watchmen: The End is Nigh Part 2,4.99,"Watchmen: The End Is Nigh Part 2 delves further into the partnership of Rorschach and Nite Owl before the hero-banning Keene Act. It’s now June 1977, and any day now the passage of the Keene Act will outlaw all masked vigilantes not sanctioned by the government.",[Warner Bros. Interactive Entertainment],[Action],29/7/2009
62,21110,F.E.A.R.,54.99,"Experience the original F.E.A.R. along with F.E.A.R. Extraction Point and F.E.A.R. Perseus Mandate.",[Warner Bros. Games/Warner Bros. Interactive Entertainment],[Action],21/5/2010
63,21680,Bionic Commando: Rearmed,9.99,"Classic side-scrolling gameplay is reporting back for duty with Bionic Commando Rearmed, a remake of the classic NES game, out now on PC.20 years after the 8-bit classic was released, Bionic Commando Rearmed recreates the world of the original with a complete '2.5D' visual revamp.",[Capcom],[Action],28/7/2009
64,22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,14.99,"The Elder Scrolls III: Morrowind® Game of the Year Edition includes Morrowind plus all of the content from the Bloodmoon and Tribunal expansions. The original Mod Construction Set is not included in this package. An epic, open-ended single-player RPG, Morrowind allows you to create and play any kind of character imaginable.",[Bethesda Softworks],[RPG],16/6/2009
65,22362,BRINK,0,"You decide the combat role you want to assume in the world of Brink as you fight to save yourself and mankind’s last refuge!",[Bethesda Softworks],[Action/Free to Play],9/5/2011
66,22380,Fallout: New Vegas,9.99,"Welcome to Vegas. New Vegas. Enjoy your stay!",[Bethesda Softworks],[Action/RPG],19/10/2010
67,22500,Spectromancer,6.99,"A turn-based online fantasy card game. No character leveling, no grinding, no deck building - just 100% skill-based and fast-paced card battles!",[Three Donkeys LLC],[Indie/Strategy],11/2/2009
68,22670,Alien Breed 3: Descent,9.99,"Experience the final explosive chapter in the Alien Breed series and uncover the horrifying truth surrounding the existence of the Breed. Launch discount good thru Nov. 24 10am PST.",[Team17 Digital Ltd],[Action],17/11/2010
69,23310,The Last Remnant™,0,"Mitra, yama, qsiti, sovani... These four races exist in one world. A world filled with Remnants — mysterious artifacts from an ancient era. Who created the Remnant? How long ago? And for what purpose? With these questions left unanswered, the Remnants became beneficial tools used for the good of civilization. The world was at peace...",[Square Enix],[RPG],9/4/2009
70,23380,Gyromancer,5.99,"Gyromancer is a Pop Cap / Square Enix collaboration. This is a Puzzle RPG. Join Rivel and his companion, Laska, on a grand chase spanning twelve stages. What awaits at the end of the hunt?Each stage contains its own objectives, from defeating the beasts that block your way to solving puzzles before time runs out.",[Square Enix],[RPG],18/11/2009
71,23490,Tropico 3,9.99,"Become the dictator of a remote island during the Cold War. Charm, persuade, intimidate, oppress, or cheat your people to stay in power! Are you a kind and generous leader? A corrupt and ruthless tyrant ruling with an iron fist?",[Kalypso Media Digital],[Simulation/Strategy],20/10/2009
72,23600,Depths of Peril,9.99,"Depths of Peril is a single player action RPG (role-playing game) with strong strategy elements. You play as a faction leader protecting the barbarian city, Jorvik, by destroying threatening monsters and completing quests. At the same time, you compete with rival factions to see who will rule the city.",[Soldak Entertainment],[Indie/RPG/Strategy],23/11/2010
73,24010,Train Simulator Classic,24.99,"Welcome to the ultimate railway hobby! Master complex operations on the DB BR 411 ICE T, BR Class 390 Pendolino, Union Pacific AC4400CW, and more as you explore authentic routes. Whatever you love about trains, Train Simulator Classic lets you take your hobby to the next level.",[Dovetail Games - Trains],[Simulation],21/4/2022
74,24049,Train Simulator Classic,24.99,"Welcome to the ultimate railway hobby! Master complex operations on the DB BR 411 ICE T, BR Class 390 Pendolino, Union Pacific AC4400CW, and more as you explore authentic routes. Whatever you love about trains, Train Simulator Classic lets you take your hobby to the next level.",[Dovetail Games - Trains],[Simulation],21/4/2022
75,24720,SPORE™ Galactic Adventures,19.99,"Take Your Creature From Zero To Galactic Hero Get out of your starship and turn your Spore creatures into legendary Space Captains. For the first time, beam down with your allies to take on action-packed, planetside adventures.",[Electronic Arts],[Action/Simulation],23/6/2009
76,24780,SimCity™ 4 Deluxe Edition,19.99,"SimCity 4 Deluxe Edition includes the bestselling SimCity 4 and the all-new SimCity 4 Rush Hour Expansion Pack. Create the most massive region of cities ever, with a farming town, bedroom community, high-tech commercial center, and industrial backbone.",[Electronic Arts/Aspyr (Mac)],[Simulation/Strategy],20/7/2010
77,25800,Europa Universalis III Complete,14.99,"Europa Universalis III Complete includes the original Europa Universalis III as well as the expansions In Nomine and Napoleons Ambition Europa Universalis III delves deeply into the areas of exploration, trade, warfare and diplomacy.",[Paradox Interactive],[Strategy],4/2/2009
78,28000,Kane & Lynch 2: Dog Days,9.99,"Pure adrenaline of non-stop action in Single Player, Online Co-op and Multiplayer. Double the pleasure and mayhem with new multiplayer DLCs! (click for details)",[Square Enix],[Action],17/8/2010
79,31290,Back to the Future: The Game,0,"Featuring a special appearance by Michael J. Fox!",[Telltale Games],[Adventure],23/12/2010
80,31810,Nancy Drew®: Last Train to Blue Moon Canyon,6.99,"Catch this train — it’s your ticket to solving a century-old mystery!",[HeR Interactive],[Adventure],10/10/2009
81,31830,Nancy Drew®: Curse of Blackmoor Manor,6.99,"Delve into Dark Legends Lurking in the Shadow of an Old English Mansion!",[HeR Interactive],[Adventure],10/10/2009
82,32000,Raycatcher,4.99,"Raycatcher is an innovative new game that syncs gameplay to your favorite mp3s. Load in your entire music library and watch as the game morphs itself to match. The gameplay itself is easy to pick up, yet compelling. Rotate a cluster of colorful shapes to catch matching rays of light cast onto your screen.",[Thinking Studios],[Indie/Casual],17/4/2009
83,32460,Monkey Island™ 2 Special Edition: LeChuck’s Revenge™,9.99,"Wannabe pirate Guybrush Threepwood, and the now zombie pirate LeChuck, return in what has long been considered one of the greatest LucasArts adventure games of all time.",[LucasArts/Lucasfilm/Disney],[Adventure],7/7/2010
84,32470,STAR WARS™ Empire at War - Gold Pack,19.99,"Command or corrupt an entire galaxy in the definitive Star Wars strategy collection. It is a time of galactic civil war. Will you take up the reins of the Rebellion, assume control of the Empire, or rule the Star Wars Underworld?",[LucasArts/Lucasfilm/Disney],[Strategy],25/5/2010
85,32770,Joint Operations: Combined Arms Gold,19.99,"The most ferocious online conflict of the 21st century is now available in its most definitive form: introducing Joint Operations: Combined Arms Gold, the largest multiplayer FPS collection ever. With the award-winning Joint Operations: Typhoon Rising and the bestselling Joint Operations: Escalation together in one convenient package,...",[NovaLogic/THQ Nordic],[Action],29/9/2009
86,33320,Prince of Persia: The Forgotten Sands™,9.99,"Prince of Persia The Forgotten Sands is the next chapter in the fan-favorite Sands of Time universe. Visiting his brother's kingdom following his adventure in Azad, the Prince finds the royal palace under siege from a mighty army bent on its destruction.",[Ubisoft],[Action/Adventure],8/6/2010
87,34272,Comix Zone™,0.99,"Sketch Turner is in it up to his inkwell. Mortus is drawing horrendous creatures to battle Sketch in every panel of the strip. If Mortus destroys Sketch, that megalomaniac mutant will become real and Earth will be doomed to his rule! But there is hope. Now that he’s a comic book superhero, Sketch can kick some serious butt.",[SEGA],[Action],1/6/2010
88,34273,Crack Down™,0.99,"Ben and Andy, the two top Special Service agents have accepted a very dangerous assignment – the elimination of Mr.K and his Artificial Life System. Mr. K plans to rid the earth of human life forms using the killer robots he’s created, and no one but Ben and Andy can stop him!",[SEGA],[Action],1/6/2010
89,34279,Space Harrier™ II,0.99,"A call for help comes from deep in the universe. Fantasyland has been taken over by destructive forces. Quick on the scene is Space Harrier™ equipped with his laser, who must attempt to outwit and outmanoeuvre the hoards and prevent Fantasyland from being blown into oblivion!",[SEGA],[Action],1/6/2010
90,34282,Shadow Dancer™,0.99,"New York City has fallen into the hands of a group of ninja warriors called Union Lizard, and they have taken people hostage. Kato, Joe Musashi’s former martial arts student, has been mortally wounded while investigating Union Lizard, leaving his faithful dog Yamato. Joe Musashi swore to avenge Kato’s death, and headed for New York.",[SEGA],[Action],1/6/2010
91,34286,Dr. Robotnik’s Mean Bean Machine™,4.99,"Dr. Robotnik is changing the jolly folk of Beanville into devious little robots that will help rid Planet Mobius of music and fun forever. Group the beans together to help them escape, and compete against Robotnik’s wily henchbots!",[SEGA],[Casual/Strategy],13/9/2010
92,34288,Eternal Champions™,0.99,"Unjust deaths were dealt upon nine of history’s greatest and most influential warriors, and the future now stands at the brink of chaos. The Eternal Champion has summoned the souls of the nine and placed them in competition.",[SEGA],[Action],13/9/2010
93,34313,Sonic Spinball™,4.99,"Dr. Eggman (AKA Dr. Robotnik) is once again turning the animals of Mobius into robots using his monstrous contraption, the Veg-O-Fortress. Only Sonic can penetrate the Pinball Defense System to free the animals, retrieve the Chaos Emeralds, and put a stop to Dr. Eggman’s fiendish plans!",[SEGA],[Action],13/9/2010
94,37290,Zenerchi®,9.99,"Are you overwhelmed at work? Dutifully doing the day-to-day but stressed by the systematic strain of your routine? Enter the world of Zenerchi, a new game that puts a peaceful twist on the classic three-in-a-row game play.",[PlayFirst],[Casual],12/8/2009
95,37600,Windosill,2.99,"A short, surprising, toy-like puzzle game.",[Vectorpark],[Adventure/Casual/Indie],25/9/2009
96,37800,Quantz,9.99,"Experience a new dimension of puzzle action game fun in QuantZ for the PC; a fabulous adventure that goes beyond the Action-Puzzler, Match-3 and Marble Popper genres. The gameplay is simple yet addictive: you have the power to control a cube with your mouse and drop marbles onto it.",[Gamerizon],[Indie/Casual],3/9/2009
97,37960,Jewel Quest Pack,19.99,"Includes the first three titles in the the ultimate jewel matching adventure, Jewel Quest! Rupert and Emma have settled down and opened a museum to display their many artifacts. While playing with a mysterious jewel board, their daughter unknowingly pops open a secret compartment.",[iWin],[Casual],24/8/2009
98,37970,Jewel Quest Pack,19.99,"Includes the first three titles in the the ultimate jewel matching adventure, Jewel Quest! Rupert and Emma have settled down and opened a museum to display their many artifacts. While playing with a mysterious jewel board, their daughter unknowingly pops open a secret compartment.",[iWin],[Casual],24/8/2009
99,38010,Mahjong Quest Collection,9.99,"Includes the first three installments of Mahjong Quest, the epic tale of tile matchmaking! What's the meaning of happiness? You are Kwazi. Starting from a mysterious birth at a mountaintop monastery and ending as a wizened old man, you use your grandfather's ancient Mah Jong set to solve an ever-challenging series of puzzles.",[iWin],[Casual],24/8/2009
100,38090,Build-A-Lot 2: Town of the Year,9.99,"It’s time to get busy again building, buying and selling houses in Build-a-lot 2: Town of the Year! There are new towns to explore, new Mayors to meet and lots of money to be made as you cast your vote for the ‘Town of the Year’. Use your keen eye to pick the right locations to build parks and shops.",[iWin],[Simulation],17/12/2009
101,38120,Farm Frenzy,4.99,"Slip into a pair of overalls and try your hand at running a farm! From tending to the fields where your cows graze to gathering eggs for sale at the town market, Farm Frenzy is as stimulating as the real thing-- only you won't have to experience the nasty smells!",[iWin],[Casual],15/2/2010
102,38140,Farm Frenzy: Pizza Party,4.99,"Pizza lovers unite! It's time to return to the farm to create your favorite food! You'll start out by growing grass, feeding animals and collecting produce. Then you'll turn your goods into the ingredients you need to make different pizzas!",[iWin],[Casual],15/2/2010
103,38160,Farm Frenzy 3: American Pie,9.99,"Can you keep up with Scarlett and the latest advancements in technology as you grow crops, feed animals, collect produce and manufacture goods? Of course you can! Just don't let the zany new animations distract you from the task at hand.",[iWin],[Casual],15/2/2010
